"","Block","Treatment","Yield"
"1",1,"NitroGrow",57
"2",1,"PowerGro",49.5
"3",1,"NitroPower",62
"4",1,"Control",46.8
"5",2,"NitroGrow",59.8
"6",2,"PowerGro",56
"7",2,"NitroPower",58.5
"8",2,"Control",55.5
"9",3,"NitroGrow",69.5
"10",3,"PowerGro",62.8
"11",3,"NitroPower",55.8
"12",3,"Control",55
"13",4,"NitroGrow",62
"14",4,"PowerGro",45.5
"15",4,"NitroPower",48.8
"16",4,"Control",44.2
"17",5,"NitroGrow",52
"18",5,"PowerGro",48.8
"19",5,"NitroPower",49.8
"20",5,"Control",51.5
"21",6,"NitroGrow",59
"22",6,"PowerGro",56
"23",6,"NitroPower",57.2
"24",6,"Control",53.2
